pdbid,-logKd/Ki
"6qgk","6.70"
"6qk8","4.85"
"6qxa","5.77"
"6r1k","5.05"
"6qcj","5.60"
"6qdx","4.52"
"6qe0","4.60"
"6qe5","5.12"
"6qed","7.13"
"6qef","7.22"
"6qeg","7.30"
"6qfe","7.10"
"6qff","5.69"
"6qfg","5.52"
"6qfh","5.86"
"6dn6","8.15"
"6dne","7.48"
"6dnp","5.18"
"6do1","8.08"
"6do3","8.03"
"6do4","7.68"
"6do5","7.16"
"6dpt","7.11"
"6dpx","5.89"
"6dpy","4.10"
"6dpz","3.59"
"6dq5","5.19"
"6dq6","5.07"
"6gga","4.85"
"6ggb","5.39"
"6ggd","5.59"
"6gge","5.77"
"6ggf","5.39"
"6ggg","9.20"
"6ggn","10.10"
"6ggv","7.54"
"6gh9","4.48"
"6ghh","6.71"
"6ghj","2.16"
"6ghp","9.36"
"6ghv","4.28"
"6md6","5.10"
"6md7","6.74"
"6md8","2.38"
"6mdb","7.17"
"6mdc","7.44"
"6mdd","4.33"
"6mdq","3.44"
"6mdu","4.25"
"6me1","7.92"
"6me2","9.37"
"6me3","9.38"
"6me4","9.92"
"6me5","8.78"
"6mju","7.56"
"6mjw","7.99"
"6mkq","6.16"
"6mku","7.15"
"6mkw","4.77"
"6mla","4.38"
"6mle","9.00"
"6mlf","4.28"
"6mlg","5.05"
"6mlh","3.67"
"6mli","2.43"
"6nfn","7.70"
"6nfo","5.57"
"6nfy","7.80"
"6nfz","7.80"
"6ng0","8.19"
"6nj0","6.61"
"6njh","3.69"
"6nji","6.99"
"6njj","5.99"
"6njz","5.01"
"6nk0","6.39"
"6nk1","6.66"
"6nkp","6.52"
"6nlj","4.82"
"6d4o","6.28"
"6d4q","6.08"
"6d4r","5.96"
"6d4s","6.05"
"6d4t","6.92"
"6d4u","5.70"
"6d4v","6.64"
"6d4w","5.25"
"6o6g","6.52"
"6o7g","5.96"
"6o8i","10.00"
"6o8u","8.28"
"6o94","8.74"
"6o95","8.29"
"6o9b","6.40"
"6o9c","7.55"
"6o9d","8.70"
"6o9x","6.05"
"6oa1","4.59"
"6oa3","6.40"
"6oac","7.95"
"6tel","9.96"
"6ten","9.77"
"6tim","3.21"
"6tl2","5.44"
"6tld","5.35"
"6tyz","6.88"
"6u26","6.97"
"6u5m","6.29"
"6u5y","7.16"
"6u7o","10.81"
"6hle","9.31"
"6hlx","7.17"
"6hly","7.33"
"6hlz","7.33"
"6hm1","6.04"
"6hm2","7.33"
"6hm4","5.67"
"6hm6","5.50"
"6hm7","7.10"
"6hmb","6.56"
"6hmg","4.94"
"6hmp","6.86"
"6hmr","6.83"
"6i5p","4.32"
"6i5y","8.54"
"6i61","6.24"
"6i62","6.80"
"6i63","7.01"
"6i64","7.31"
"6i65","6.41"
"6i66","6.74"
"6i67","6.70"
"6i68","4.89"
"6i74","5.47"
"6i75","4.64"
"6i76","5.07"
"6i77","4.96"
"6i78","4.74"
"6n78","9.68"
"6n79","9.68"
"6n7a","8.37"
"6n7b","9.22"
"6n7c","9.17"
"6n7d","9.52"
"6n7q","5.15"
"6n7y","5.11"
"6n7z","5.55"
"6n82","5.96"
"6n83","6.27"
"6n87","5.66"
"6pia","4.96"
"6pic","3.39"
"6pid","4.54"
"6pii","6.96"
"6pit","5.92"
"6pk7","4.72"
"6pka","5.92"
"6pl1","7.65"
"6pl3","8.52"
"6plf","6.67"
"6plg","7.82"
"6pm9","8.10"
"6qrg","5.00"
"6qri","4.82"
"6qs1","5.61"
"6qs5","6.24"
"6qsz","7.15"
"6qtm","5.25"
"6qto","4.64"
"6qtq","3.72"
"6qtr","4.64"
"6mt4","3.82"
"6mt5","4.49"
"6mt6","3.88"
"6mtu","5.22"
"6mtv","5.11"
"6mu3","6.15"
"6mub","7.00"
"6mul","8.20"
"6nrh","7.26"
"6nri","7.57"
"6nrj","7.44"
"6nsp","7.36"
"6nsq","8.10"
"6nss","8.85"
"6nsv","7.80"
"6nt2","8.82"
"6ntb","5.15"
"6qh9","5.00"
"6qha","5.30"
"6qhb","6.30"
"6qhc","5.20"
"6qhg","3.13"
"6qho","6.20"
"6qhr","7.72"
"6qi4","4.37"
"6qi7","6.46"
"6fzm","6.04"
"6fzp","6.42"
"6fzu","3.67"
"6fzx","8.15"
"6g01","7.41"
"6g02","7.62"
"6g0q","4.61"
"6g0v","3.78"
"6g0w","5.28"
"6g0z","5.32"
"6g14","5.49"
"6g15","5.37"
"6g1u","5.61"
"6kmj","4.79"
"6kzc","7.94"
"6kzd","8.53"
"6lpr","7.30"
"6m7h","4.70"
"6m7i","3.41"
"6m87","8.10"
"6uim","6.74"
"6ul8","7.52"
"6un1","7.89"
"6un3","8.64"
"6upj","6.32"
"6uvp","4.00"
"6uvv","5.18"
"6uvy","6.00"
"6uwp","7.55"
"6uwv","8.00"
"6e91","6.62"
"6e92","7.46"
"6e99","6.00"
"6e9a","11.92"
"6e9l","6.04"
"6e9w","6.55"
"6ea1","6.59"
"6ea2","6.55"
"6eaa","6.09"
"6eab","6.37"
"6eb1","5.33"
"6eb2","6.32"
"6ebe","6.70"
"6ebw","8.60"
"6ecz","6.57"
"6ed6","7.43"
"6q3q","4.45"
"6q3y","7.27"
"6q3z","7.36"
"6q4e","3.46"
"6q4g","4.30"
"6q54","6.49"
"6q5b","5.89"
"6q60","5.71"
"6q6f","3.35"
"6fel","6.40"
"6fer","4.36"
"6few","5.85"
"6fex","7.54"
"6ffe","6.10"
"6fff","7.30"
"6ffg","7.20"
"6ffh","6.34"
"6ffi","8.10"
"6ffn","8.22"
"6ffs","7.20"
"6ibz","7.66"
"6ic0","7.66"
"6ic2","6.04"
"6ic5","8.22"
"6ic6","7.82"
"6ic7","7.11"
"6idb","6.40"
"6idg","6.66"
"6idz","6.51"
"6qts","4.80"
"6qtw","5.52"
"6qtx","4.41"
"6quw","2.82"
"6qw7","6.33"
"6qw9","6.64"
"6qwa","6.59"
"6qwb","6.04"
"6qwi","4.29"
"5ovh","6.55"
"5ovi","7.68"
"5ovp","5.04"
"5ovr","4.57"
"5ovv","4.48"
"5ovx","4.50"
"5ow1","4.15"
"5ow8","5.16"
"5owa","5.46"
"5owc","7.59"
"5owf","5.80"
"5owh","5.92"
"5owl","5.92"
"5ows","8.00"
"6cd8","4.71"
"6cd9","4.42"
"6cdc","5.60"
"6cdg","5.72"
"6cdj","11.70"
"6cdl","10.92"
"6cdm","9.09"
"6cdo","8.97"
"6cdp","8.79"
"6ce2","6.30"
"6ce6","5.10"
"6ce8","3.41"
"6cea","3.14"
"5z1t","6.20"
"5z4h","3.02"
"5z4o","3.28"
"5z5f","2.17"
"5z5v","6.54"
"5z66","6.69"
"5z68","5.89"
"5z7b","4.89"
"5z7j","6.60"
"5z89","6.71"
"5z95","6.55"
"5z99","6.88"
"5za1","7.52"
"6bhd","5.03"
"6bhe","4.62"
"6bhh","3.76"
"6bhi","4.25"
"6bhv","5.23"
"6bib","5.80"
"6bic","5.62"
"6bid","5.54"
"6bij","6.05"
"6bik","8.19"
"6bil","6.24"
"6bin","6.34"
"6bir","7.52"
"6biv","6.52"
"6bix","6.51"
"6biy","6.66"
"6h51","6.87"
"6h52","7.17"
"6h5w","10.80"
"6h5x","10.82"
"6h75","4.38"
"6h76","7.52"
"6h77","7.33"
"6h78","7.33"
"6h7b","7.48"
"6h7d","5.49"
"6h7f","6.12"
"5w4v","7.15"
"5w4w","8.10"
"5w5j","5.82"
"5w5o","8.10"
"5w5s","7.77"
"5w5u","7.19"
"5w5v","6.10"
"5w6e","8.04"
"5w6i","6.90"
"6bw8","9.00"
"6bx6","6.48"
"6bxy","8.05"
"6by8","6.91"
"6byk","3.41"
"6byz","8.37"
"6c0n","8.37"
"6c0r","7.51"
"6c0s","7.05"
"6c0t","7.37"
"6c0u","5.99"
"6c1s","8.52"
"6c28","4.17"
"6c2r","9.10"
"6c2t","9.05"
"6c2x","4.76"
"6c2y","6.60"
"5zhn","8.80"
"5zia","6.52"
"5zjf","4.54"
"5zjy","8.18"
"5zk3","8.74"
"5zk5","8.37"
"5zk7","6.71"
"5zk8","8.89"
"5zk9","7.34"
"5zkb","8.70"
"5zkc","8.19"
"5zku","4.30"
"5zla","4.30"
"5zlf","3.48"
"6f5h","7.05"
"6f5l","9.19"
"6f5m","6.30"
"6f5u","3.54"
"6f5w","3.83"
"6f6d","4.10"
"6f6i","3.19"
"6f6n","3.02"
"6f6r","8.25"
"6f6u","4.80"
"6f7b","8.89"
"6f7c","5.90"
"6f7i","7.85"
"5zqr","7.97"
"5zqu","5.15"
"5zt1","4.67"
"5ztn","8.30"
"5zu0","5.51"
"5zuj","4.78"
"5zun","9.19"
"6d50","5.05"
"6d6t","8.21"
"6db4","7.31"
"6dzy","5.52"
"6e3p","8.70"
"6e7u","6.92"
"1czc","2.82"
"1ppw","4.30"
"1ro7","3.18"
"1y19","6.77"
"2azc","6.74"
"2fl5","8.74"
"2j3q","6.15"
"2ndo","3.25"
"2p98","6.19"
"2x6i","6.08"
"2ych","3.00"
"3eig","7.68"
"3haw","6.00"
"3l9m","7.30"
"5xg4","5.15"
"5xg5","3.48"
"5xgh","5.99"
"5xgl","6.88"
"5xhr","5.10"
"5xhs","5.05"
"5xhz","6.49"
"5xig","6.38"
"5xih","7.15"
"5xii","7.12"
"5xij","7.30"
"5xiw","4.96"
"5ymx","6.92"
"5yof","5.82"
"5yov","7.68"
"5yp5","4.60"
"5ypo","7.10"
"5ypp","4.64"
"5ypw","4.64"
"5ypy","4.64"
"5yql","4.59"
"5yqn","4.03"
"5yqo","6.09"
"5yqw","7.51"
"5yqx","6.96"
"5yr4","6.34"
"6fmc","5.88"
"6fmf","5.88"
"6fmi","5.03"
"6fmj","6.12"
"6fmk","4.67"
